question,answer,input_tokens,output_tokens,total_tokens,response_time_seconds,p99_processing_time,p95_processing_time,avg_processing_time,page_count,avg_time_per_page,p99_time_per_page,p95_time_per_page,tokens_per_page
What is the purpose of Publication 15 (Circular E)?,"Publication 15 (Circular E) is an Employer's Tax Guide for use in 2025, providing information to employers about tax responsibilities including employee classification, wage reporting, withholding, and tax deposits.",,,,,,,,,,,,
In how many languages is the IRS tax guide information available according to the text?,"According to the text, the IRS tax guide information is available in six languages: English, Spanish (Español), Chinese (中文), Korean (한국어), Russian (Pусский), and Vietnamese (Tiếng Việt).",,,,,,,,,,,,
What are some of the main topics covered in the publication's contents?,"The publication covers numerous topics including Employer Identification Numbers (EIN), employee classification, family employees, Social Security Numbers, wages and compensation, tips, supplemental wages, payroll periods, tax withholding, Earned Income Credit notice requirements, depositing taxes, filing various tax forms, reporting adjustments, and Federal Unemployment (FUTA) Tax.",,,,,,,,,,,,
What is the social security tax rate and wage base limit for 2025?,"For 2025, the social security tax rate is 6.2% each for both the employer and employee, with a wage base limit of $176,100.",,,,,,,,,,,,
What is the Medicare tax rate for 2025?,"The Medicare tax rate for 2025 is 1.45% each for both the employee and employer, unchanged from 2024.",,,,,,,,,,,,
Where can users find the latest information about developments related to Publication 15?,"Users can find the latest information about developments related to Publication 15, such as legislation enacted after it was published, by going to IRS.gov/Pub15.",,,,,,,,,,,,
What is the Medicare tax rate for 2025 and is there a wage base limit?,"The Medicare tax rate is 1.45% each for the employee and employer, unchanged from 2024. There is no wage base limit for Medicare tax.",,,,,,,,,,,,
When do social security and Medicare taxes apply to household workers in 2025?,"Social security and Medicare taxes apply to household workers you pay $2,800 or more in cash wages in 2025.",,,,,,,,,,,,
Which amended employment tax returns can now be filed electronically?,"You can now file amended Forms 940 (Employer's Annual Federal Unemployment Tax Return), 941-X (Adjusted Employer's Quarterly Federal Tax Return or Claim for Refund), 943-X (Adjusted Employer's Annual Federal Tax Return for Agricultural Employees or Claim for Refund), and 945-X (Adjusted Annual Return of Withheld Income Tax or Claim for Refund) electronically using Modernized e-File (MeF).",,,,,,,,,,,,
What is Form CT-1X used for?,Form CT-1X is the Adjusted Employer's Annual Railroad Retirement Tax Return or Claim for Refund.,,,,,,,,,,,,
What change has occurred with Publication 15 according to the text?,"Publication 15 is now used by all employers, including agricultural employers and employers in the U.S. territories. Publications 51, 80, and 179 have been discontinued. Spanish speakers can refer to Publication 15 (sp).",,,,,,,,,,,,
What is the status of the COVID-19 related credit for qualified sick and family leave wages?,"The COVID-19 related credit for qualified sick and family leave wages is limited to leave taken after March 31, 2020, and before October 1, 2021, and may no longer be claimed.",,,,,,,,,,,,
During what time period were qualified sick and family leave wages eligible for tax credits?,"The tax credits were limited to leave taken after March 31, 2020, and before October 1, 2021. These credits have expired but can still be claimed in 2024 or 2025 for leave taken during that eligible period.",,,,,,,,,,,,
Which legislation established and extended the credits for qualified sick and family leave wages?,"The credits were initially enacted under the Families First Coronavirus Response Act (FFCRA), then amended and extended by the COVID-related Tax Relief Act of 2020, and further addressed under the American Rescue Plan Act of 2021 (the ARP) which enacted sections 3131, 3132, and 3133 of the Internal Revenue Code.",,,,,,,,,,,,
"What change was made to Form 941 regarding these credits for tax periods after December 31, 2023?","Effective for tax periods beginning after December 31, 2023, the lines used to claim the credit for qualified sick and family leave wages have been removed from Form 941, Employer's QUARTERLY.",,,,,,,,,,,,
"Why were the credits for qualified sick and family leave wages removed from Forms 941, 943, and 944?","The credits were removed because it would be extremely rare for an employer to pay wages after December 31, 2023, for qualified sick and family leave taken after March 31, 2020, and before October 1, 2021.",,,,,,,,,,,,
How should employers claim the credit for qualified sick and family leave wages paid in 2024 or 2025?,"Employers should file Form 941-X after filing Form 941, Form 943-X after filing Form 943, or Form 944-X after filing Form 944 to claim the credit for qualified sick and family leave wages paid in 2024 or 2025 for an earlier applicable leave period.",,,,,,,,,,,,
"What might happen if an employer files Form 941-X, 943-X, or 944-X before filing the original return?","Filing a Form 941-X, Form 943-X, or Form 944-X before filing a Form 941 for the quarter, or Form 943 or Form 944 for the year, may result in errors or delays in processing the X form.",,,,,,,,,,,,
"What is the maximum amount a qualified small business could claim as a payroll tax credit for increasing research activities before and after December 31, 2022?","Before January 1, 2023, a qualified small business could claim up to $250,000 of its credit for increasing research activities as a payroll tax credit. After December 31, 2022, the Inflation Reduction Act of 2022 (IRA) increased this election amount to $500,000.",,,,,,,,,,,,
When must a qualified small business make the payroll tax credit election for research activities?,"The payroll tax credit election must be made on or before the due date of the originally filed income tax return, including extensions.",,,,,,,,,,,,
Which forms are used to elect and report the qualified small business payroll tax credit for increasing research activities?,"The election and determination of the credit amount are made on Form 6765, Credit for Increasing Research Activities. The amount from Form 6765 must then be reported on Form 8974, Qualified Small Business Payroll Tax.",,,,,,,,,,,,
How is the payroll tax credit for increasing research activities applied to employer taxes starting in 2023?,"Starting in the first quarter of 2023, the payroll tax credit is first used to reduce the employer share of social security tax up to $250,000 per quarter, and any remaining credit reduces the employer share of Medicare tax for the quarter. Any credit amount that remains after reducing both taxes is carried forward to the next quarter.",,,,,,,,,,,,
What forms are required to claim the qualified small business payroll tax credit for increasing research activities?,"To claim this credit, the amount from Form 6765 must be reported on Form 8974 (Qualified Small Business Payroll Tax Credit for Increasing Research Activities). The amount from Form 8974, line 12, or line 17 if applicable, is then reported on Form 941, Form 943, or Form 944.",,,,,,,,,,,,
