question,answer,input_tokens,output_tokens,total_tokens,response_time_seconds,p99_processing_time,p95_processing_time,avg_processing_time,page_count,avg_time_per_page,p99_time_per_page,p95_time_per_page,tokens_per_page
"What is the purpose of Publication 15 (Circular E), Employer's Tax Guide?","Publication 15 (Circular E), Employer's Tax Guide, is intended for use in 2025 and provides guidance for employers on tax-related matters such as withholding, depositing, and filing taxes.",,,,,,,,,,,,
Where can users access forms and information related to the Employer's Tax Guide in different languages?,"Users can access forms and information faster and easier at IRS.gov, with resources available in English, Spanish (Español), Chinese (中文), Korean (한국어), Russian (Pусский), and Vietnamese (Tiếng Việt).",,,,,,,,,,,,
What topics are covered in the Employer's Tax Guide under its contents?,"The Employer's Tax Guide covers a variety of topics, including Employer Identification Number (EIN), employee classifications, wages and compensation, tips, payroll periods, tax withholding, depositing taxes, filing forms, and federal unemployment (FUTA) tax.",,,,,,,,,,,,
What is the social security tax rate for employers and employees in 2025?,The social security tax rate for employers and employees in 2025 is 6.2% each on taxable wages.,,,,,,,,,,,,
What is the social security wage base limit for 2025?,"The social security wage base limit for 2025 is $176,100.",,,,,,,,,,,,
Where can the latest updates regarding Publication 15 be found?,The latest updates regarding Publication 15 can be found at IRS.gov/Pub15.,,,,,,,,,,,,
"What is the Medicare tax rate for employees and employers in 2025, and is there a wage base limit for this tax?","The Medicare tax rate for both employees and employers in 2025 is 1.45%, and there is no wage base limit for Medicare tax.",,,,,,,,,,,,
What are the wage thresholds for social security and Medicare taxes to apply to household and election workers in 2025?,"Social security and Medicare taxes apply to household workers earning $2,800 or more in cash wages and election workers earning $2,400 or more in cash or equivalent compensation in 2025.",,,,,,,,,,,,
Which amended employment tax returns can now be filed electronically using Modernized e-File (MeF)?,"The amended employment tax returns that can now be filed electronically using Modernized e-File (MeF) are Form 940, Form 941-X, Form 943-X, and Form 945-X. Forms 944-X and CT-1X cannot currently be filed using MeF.",,,,,,,,,,,,
What is Form CT-1 X used for?,Form CT-1 X is used for Adjusted Employer's Annual Railroad Retirement Tax Return or Claim for Refund.,,,,,,,,,,,,
Which publications have been discontinued and replaced by Pub. 15 for all employers?,"Pub. 51, Agricultural Employer's Tax Guide; Pub. 80, Federal Tax Guide for Employers in the U.S. Virgin Islands, Guam, American Samoa, and the Commonwealth of the Northern Mariana Islands; and Pub. 179, Guía Contributiva Federal para Patronos Puertorriqueños, have been discontinued and replaced by Pub. 15 for all employers.",,,,,,,,,,,,
Can the COVID-19 related credit for qualified sick and family leave wages still be claimed?,"No, the COVID-19 related credit for qualified sick and family leave wages may no longer be claimed as it only applied to leave taken after March 31, 2020, and before October 1, 2021.",,,,,,,,,,,,
"During which time period can employers no longer claim credits for qualified sick and family leave wages on Forms 941, 943, or 944?","Employers can no longer claim credits for qualified sick and family leave wages on Forms 941, 943, or 944 for leave taken after March 31, 2020, and before October 1, 2021.",,,,,,,,,,,,
What legislation enacted or extended the credits for qualified sick and family leave wages for specific time periods?,"The Families First Coronavirus Response Act (FFCRA) and the COVID-related Tax Relief Act of 2020 extended credits for leave taken after March 31, 2020, and before April 1, 2021. The American Rescue Plan Act of 2021 (ARP) enacted credits for leave taken after March 31, 2021, and before October 1, 2021.",,,,,,,,,,,,
"Are employers eligible to claim credits for 2024 or 2025 for leave taken in the specified period, and what is the eligibility condition?","Employers paying qualified sick and family leave wages in 2024 or 2025 for leave taken after March 31, 2020, and before October 1, 2021, are eligible to claim a credit for those wages in 2024 or 2025.",,,,,,,,,,,,
"Why were the credits for qualified sick and family leave wages removed from Forms 941, 943, and 944?","The credits were removed because it would be extremely rare for an employer to pay wages after December 31, 2023, for qualified sick and family leave taken after March 31, 2020, and before October 1, 2021.",,,,,,,,,,,,
How can an employer claim the credit for qualified sick and family leave wages paid in 2024 or 2025?,"To claim the credit for wages paid in 2024 or 2025 for an earlier applicable leave period, an employer must file Form 941-X, Form 943-X, or Form 944-X after filing the corresponding original Form 941, Form 943, or Form 944.",,,,,,,,,,,,
"What might happen if an employer files Form 941-X, Form 943-X, or Form 944-X before filing the original corresponding form?","Filing a Form 941-X, Form 943-X, or Form 944-X before filing Form 941, Form 943, or Form 944 may result in errors or delays in processing the amended forms.",,,,,,,,,,,,
"What forms are available in Spanish for filing, and why would someone choose them?","Forms 941 (sp), 943 (sp), and 944 (sp) are available in Spanish for those who prefer their form and instructions in Spanish.",,,,,,,,,,,,
How has the Inflation Reduction Act of 2022 impacted the payroll tax credit for increasing research activities?,"The Inflation Reduction Act of 2022 increased the maximum payroll tax credit for increasing research activities from $250,000 to $500,000 for tax years beginning after December 31, 2022.",,,,,,,,,,,,
What forms are used to elect and report the payroll tax credit for increasing research activities?,"The payroll tax credit election is made on Form 6765, Credit for Increasing Research Activities, and the amount must then be reported on Form 8974, Qualified Small Business Payroll Tax Credit.",,,,,,,,,,,,
What is Form 8974 used for in relation to the payroll tax credit for increasing research activities?,Form 8974 is used to determine the amount of the payroll tax credit that can be used in the current quarter.,,,,,,,,,,,,
How is the payroll tax credit applied starting in the first quarter of 2023?,"Starting in the first quarter of 2023, the payroll tax credit is first used to reduce the employer share of social security tax up to $250,000 per quarter, with any remaining credit reducing the employer share of Medicare tax for the quarter. Any additional remaining credit is carried forward to the next quarter.",,,,,,,,,,,,
Where can more information about the payroll tax credit be found?,"More information about the payroll tax credit can be found at IRS.gov/ResearchPayrollTC or in the instructions for Form 941, Form 943, or Form 944.",,,,,,,,,,,,
What type of tax relief is available for individuals impacted by disasters?,"Disaster tax relief is available for those impacted by disasters. For more information, visit IRS.gov/DisasterTaxRelief.",,,,,,,,,,,,
"What is the payroll tax credit for certain tax-exempt organizations affected by qualified disasters, and how is it claimed?","The payroll tax credit for certain tax-exempt organizations affected by qualified disasters is authorized under Section 303(d) of the Taxpayer Certainty and Disaster Tax Relief Act of 2020. It is claimed on Form 5884-D, not on Form 941, Form 943, or Form 944, and should be filed after the respective quarterly or yearly forms have been filed.",,,,,,,,,,,,
Where can information about the 2025 withholding tables and methods be found?,"The 2025 withholding tables include the Percentage Method and Wage Bracket Method, along with employer instructions on how to calculate withholding. Details are provided in related IRS publications.",,,,,,,,,,,,
Where can employers find the withholding tables and instructions for figuring employee withholding for 2025?,"Employers can find the 2025 Percentage Method and Wage Bracket Method withholding tables, along with instructions for figuring employee withholding, in Publication 15-T, Federal Income Tax Withholding Methods, available at IRS.gov/Pub15T.",,,,,,,,,,,,
What are the rules regarding the exclusion for qualified moving expense reimbursements between 2017 and 2026?,"The exclusion for qualified moving expense reimbursements is suspended for tax years beginning after 2017 and before 2026, except for members of the U.S. Armed Forces on active duty who move due to a permanent change of station under a military order.",,,,,,,,,,,,
How did P.L. 115-97 impact the withholding rates on supplemental wages?,P.L. 115-97 lowered the withholding rates on supplemental wages for tax years beginning after 2017 and before 2026.,,,,,,,,,,,,
What changes did P.L. 115-97 make to withholding rates for supplemental wages and backup withholding?,P.L. 115-97 lowered the withholding rates on supplemental wages and the backup withholding rate to 24% for tax years beginning after 2017 and before 2026.,,,,,,,,,,,,
What is the purpose of the certification program for professional employer organizations (PEOs) established by the IRS?,"The certification program for PEOs, required by the Stephen Beck, Jr., Achieving a Better Life Experience (ABLE) Act of 2014, ensures that certified professional employer organizations (CPEOs) meet specific requirements for handling payroll administration and tax reporting responsibilities.",,,,,,,,,,,,
How does certification as a CPEO affect employment tax liabilities?,"Certification as a CPEO may affect the employment tax liabilities of both the CPEO and its customers, as a CPEO is generally treated as the employer for employment tax purposes for individuals covered under a contract described in section 7705(e)(2).",,,,,,,,,,,,
What is required for an organization to become a Certified Professional Employer Organization (CPEO)?,"To become a Certified Professional Employer Organization (CPEO), the organization must apply through the IRS Online Registration System.",,,,,,,,,,,,
Where can employers find information about outsourcing payroll and related tax duties?,Employers can find helpful information about outsourcing payroll and related tax duties at IRS.gov/OutsourcingPayrollDuties.,,,,,,,,,,,,
What is the employer's responsibility when outsourcing payroll and tax duties to a third party?,"Even when outsourcing payroll and tax duties to a third party, the employer remains responsible for ensuring that tax returns are filed and deposits and payments are made, even if the third party fails to perform the required actions.",,,,,,,,,,,,
When is a CPEO generally treated as the employer for an individual performing services?,"A CPEO is generally treated as the employer when it pays wages and other compensation to an individual performing services for you under a CPEO contract, but only for the wages and compensation paid by the CPEO.",,,,,,,,,,,,
"Can you also be treated as an employer for employees covered by a CPEO contract, and what is the implication?","Yes, you may also be treated as an employer for certain employees covered by a CPEO contract, and as a result, you may be liable for federal employment taxes on wages and compensation paid to such employees by the CPEO.",,,,,,,,,,,,
What forms and schedules must approved section 3504 agents and CPEOs complete when filing aggregate Forms 941 or 943?,"Approved section 3504 agents and CPEOs must complete Schedule R (Form 941), Allocation Schedule for Aggregate Form 941 Filers, or Schedule R (Form 943), Allocation Schedule for Aggregate Form 943 Filers, as applicable, when filing aggregate Forms 941 or 943.",,,,,,,,,,,,
What form must an agent file with the IRS to request approval to act on behalf of an employer under section 3504?,"An agent must file Form 2678 with the IRS to request approval to act on behalf of an employer under section 3504, unless they are a state or local government agency acting under special procedures in Revenue Procedure 2013-39.",,,,,,,,,,,,
What are the filing requirements for CPEOs approved under section 7705?,"CPEOs approved under section 7705 must file Form 941 or Form 943 quarterly or annually, along with the applicable Schedule R electronically. They must also file Form 8973 to notify the IRS of starting or ending a service contract with a client or customer.",,,,,,,,,,,,
How does an organization apply to become a Certified Professional Employer Organization (CPEO)?,An organization must apply to become a CPEO through the IRS Online Registration System at IRS.gov/CPEO.,,,,,,,,,,,,
Who must complete and file Schedule R if their clients claim an employment tax credit?,"Non-certified PEOs must complete and file the applicable Schedule R if they have clients claiming any employment tax credit, such as the qualified small business payroll tax credit for increasing research activities.",,,,,,,,,,,,
When must approved section 3504 agents and CPEOs complete Schedule R (Form 940)?,"Approved section 3504 agents and CPEOs must complete Schedule R (Form 940) when filing an aggregate Form 940, Employer's Annual Federal Unemployment (FUTA) Tax Return.",,,,,,,,,,,,
What is required for agents to act on behalf of home care service recipients in filing aggregate Forms 940?,"Agents must file Form 2678 with the IRS to request approval to act on behalf of home care service recipients, unless they are a state or local government agency acting under special procedures provided in Revenue Procedure 2013-39.",,,,,,,,,,,,
What form must CPEOs file to notify the IRS about starting or ending a service contract with a client?,CPEOs must file Form 8973 to notify the IRS that they’ve started or ended a service contract with a client or customer.,,,,,,,,,,,,
How can qualified tax-exempt organizations claim the work opportunity tax credit for hiring eligible unemployed veterans?,Qualified tax-exempt organizations can claim the work opportunity tax credit against their payroll tax liability using Form 5884-C.,,,,,,,,,,,,
What does Notice 2014-7 state regarding Medicaid waiver payments?,Notice 2014-7 states that certain Medicaid waiver payments are excludable from income for federal income tax purposes.,,,,,,,,,,,,
Are disability payments for injuries incurred from a terrorist attack against the United States included in taxable income?,"No, disability payments for injuries incurred as a direct result of a terrorist attack against the United States (or its allies) are not included in income, and no federal income tax should be withheld from these payments.",,,,,,,,,,,,
Can shareholders of an Alaska Native Corporation (ANC) request voluntary income tax withholding on dividends?,"Yes, shareholders of an ANC may request voluntary income tax withholding on dividends and other distributions by giving the ANC a completed Form W-4V.",,,,,,,,,,,,
How is marriage defined for federal tax purposes?,"For federal tax purposes, a marriage is recognized if it is recognized by the state or territory of the United States where the marriage was entered into, regardless of the individuals' legal residence.",,,,,,,,,,,,
How are marriages recognized for federal tax purposes if entered into under foreign or tribal laws?,"Marriages entered into under the laws of a foreign jurisdiction or an American Indian tribe are recognized for federal tax purposes if the relationship would be recognized as a marriage under the laws of at least one state or territory of the United States, regardless of legal residence.",,,,,,,,,,,,
Are registered domestic partnerships or civil unions considered lawful marriages for federal tax purposes?,"No, registered domestic partnerships, civil unions, or other similar relationships that are not denominated as marriages under the law of the state or territory where they were entered into are not considered lawful marriages for federal tax purposes, regardless of legal residence.",,,,,,,,,,,,
What taxes apply to qualified differential wage payments made to individuals serving in the U.S. Armed Forces?,"Qualified differential wage payments are subject to income tax withholding but not to social security, Medicare, or FUTA taxes.",,,,,,,,,,,,
When can an employer request to file Form 944 instead of quarterly Forms 941?,"Employers can request to file Form 944 instead of quarterly Forms 941 if they believe their employment taxes for the calendar year will be $1,000 or less. They must contact the IRS during the first calendar quarter of the tax year to make this request.",,,,,,,,,,,,
What is required before an employer can file Form 944 or quarterly Forms 941?,Employers must receive written notice from the IRS before they can file Form 944 or switch to filing quarterly Forms 941 instead.,,,,,,,,,,,,
Where can employers find more information about requesting to file Form 944?,"Employers can find more information about requesting to file Form 944, including methods and deadlines, in the Instructions for Form 944.",,,,,,,,,,,,
When can an employer file quarterly Forms 941 instead of Form 944?,An employer can file quarterly Forms 941 instead of Form 944 only after receiving written notice from the IRS to do so.,,,,,,,,,,,,
"How should errors on previously filed Forms 941, 943, or 944 be corrected?","Errors on previously filed Forms 941, 943, or 944 should be corrected using Form 941-X, Form 943-X, or Form 944-X, respectively. These correction forms are filed separately from the original forms.",,,,,,,,,,,,
"What are Forms 941-X, 943-X, and 944-X used for?","Forms 941-X, 943-X, and 944-X are used by employers to claim refunds or abatements of employment taxes, rather than using Form 843.",,,,,,,,,,,,
"What must employers do if they aren't filing a ""final"" Form 941, Form 943, or Form 944, or aren't a ""seasonal"" employer?","Employers must continue to file a Form 940 and Forms 941, Form 943, or Form 944, even for periods during which they paid no wages.",,,,,,,,,,,,
"How does the IRS recommend filing ""zero wage"" Forms 940, 941, 943, or 944?","The IRS encourages filing ""zero wage"" Forms 940, 941, 943, or 944 electronically and provides more information at IRS.gov/EmploymentEfile.",,,,,,,,,,,,
"How must federal tax deposits be made, and what options are available?","Federal tax deposits must be made by electronic funds transfer (EFT), generally using the Electronic Federal Tax Payment System (EFTPS). Alternatively, employers can arrange for a tax professional, financial institution, payroll service, or other trusted third party to make electronic deposits or use their financial institution to initiate a same-day wire payment.",,,,,,,,,,,,
"What is EFTPS, and where can you get more information about it?","EFTPS is a free service provided by the Department of the Treasury for making federal tax deposits. More information about EFTPS or enrollment can be found at EFTPS.gov, by calling 800-555-4477, 800-244-4829 (Spanish), or 303-967-5916 (toll call). Additional details are also available in Publication 966.",,,,,,,,,,,,
What should individuals with hearing or speech disabilities do to contact EFTPS?,Individuals with hearing or speech disabilities can use Telecommunications Relay Services (TRS) by dialing 711 and providing the TRS assistant with the number 800-555-4477 or 800-733-4829.,,,,,,,,,,,,
What are the social security and Medicare tax requirements for residents of the Philippines working in the CNMI?,"Employers must withhold and pay social security and Medicare taxes on wages and other compensation paid to residents of the Philippines working in the CNMI, unless they hold an H-2 status or are eligible for exemption from social security taxes.",,,,,,,,,,,,
What is the agreement between the U.S. Treasury Department and the CNMI Division of Revenue and Taxation regarding federal employers?,"In December 2006, the U.S. Treasury Department and the CNMI Division of Revenue and Taxation entered into an agreement under 5 U.S.C. section 5517, requiring federal employers (including the Department of Defense) to withhold CNMI income taxes instead of federal income taxes and deposit them with the CNMI Treasury for employees subject to CNMI taxes and working in the CNMI.",,,,,,,,,,,,
