question,answer,input_tokens,output_tokens,total_tokens,response_time_seconds,p99_processing_time,p95_processing_time,avg_processing_time,page_count,avg_time_per_page,p99_time_per_page,p95_time_per_page,tokens_per_page
What is Publication 15 (Circular E) used for?,"Publication 15 (Circular E) is the Employer's Tax Guide for use in 2025, which provides guidance and information for employers regarding tax obligations and requirements.",,,,,,,,,,,,
What languages are IRS resources available in according to the text?,"According to the text, IRS resources are available in six languages: English (IRS.gov), Spanish (IRS.gov/Spanish), Chinese (IRS.gov/Chinese), Korean (IRS.gov/Korean), Russian (IRS.gov/Russian), and Vietnamese (IRS.gov/Vietnamese).",,,,,,,,,,,,
What are some of the main topics covered in Publication 15?,"The main topics covered in Publication 15 include Employer Identification Number (EIN), Who Are Employees, Family Employees, Employee's Social Security Number (SSN), Wages and Other Compensation, Tips, Supplemental Wages, Payroll Period, Withholding From Employees' Wages, Required Notice to Employees About the Earned Income Credit (EIC), Depositing Taxes, Filing Forms 941, Form 943, Form 944, or Form 945, Reporting Adjustments, and Federal Unemployment (FUTA) Tax.",,,,,,,,,,,,
What is the social security wage base limit for 2025?,"The social security wage base limit is $176,100 for 2025.",,,,,,,,,,,,
What are the social security and Medicare tax rates for employers and employees in 2025?,"The rate of social security tax on taxable wages is 6.2% each for the employer and employee, and the Medicare tax rate is 1.45% each for the employee and employer, unchanged from 2024.",,,,,,,,,,,,
Where can readers find the latest information about developments related to Publication 15?,"For the latest information about developments related to Pub. 15, such as legislation enacted after it was published, readers can go to IRS.gov/Pub15.",,,,,,,,,,,,
What is the Medicare tax rate for 2025?,"The Medicare tax rate is 1.45% each for the employee and employer, unchanged from 2024. There is no wage base limit for Medicare tax.",,,,,,,,,,,,
What is the threshold for social security and Medicare taxes for household workers in 2025?,"Social security and Medicare taxes apply to the wages of household workers you pay $2,800 or more in cash wages in 2025.",,,,,,,,,,,,
Which amended employment tax returns can now be filed electronically?,"You can now file amended Form 940 (Employer's Annual Federal Unemployment Tax Return), Form 941-X (Adjusted Employer's QUARTERLY Federal Tax Return or Claim for Refund), Form 943-X (Adjusted Employer's Annual Federal Tax Return for Agricultural Employees or Claim for Refund), and Form 945-X (Adjusted Annual Return of Withheld Income Tax or Claim for Refund) electronically using Modernized e-File (MeF).",,,,,,,,,,,,
What is Form CT-1X used for?,Form CT-1X is the Adjusted Employer's Annual Railroad Retirement Tax Return or Claim for Refund.,,,,,,,,,,,,
What change has occurred regarding Publication 15?,"Publication 15 is now used by all employers, including agricultural employers and employers in the U.S. territories. Publications 51, 80, and 179 have been discontinued.",,,,,,,,,,,,
What is the timeframe for claiming the COVID-19 related credit for qualified sick and family leave wages?,"The COVID-19 related credit for qualified sick and family leave wages is limited to leave taken after March 31, 2020, and before October 1, 2021, and may no longer be claimed.",,,,,,,,,,,,
